#name network latitude longitude useless depth
STA_50_-90 A 50 -90 0 0
STA_50_-80 A 50 -80 0 0
STA_50_-70 A 50 -70 0 0
STA_50_-60 A 50 -60 0 0
STA_50_-50 A 50 -50 0 0
STA_50_-40 A 50 -40 0 0
STA_50_-30 A 50 -30 0 0
STA_50_-20 A 50 -20 0 0
STA_50_-10 A 50 -10 0 0
STA_50_0 A 50 0 0 0
STA_50_10 A 50 10 0 0
STA_50_20 A 50 20 0 0
STA_50_30 A 50 30 0 0
STA_50_40 A 50 40 0 0
STA_50_50 A 50 50 0 0
STA_50_60 A 50 60 0 0
STA_50_70 A 50 70 0 0
STA_50_80 A 50 80 0 0
STA_50_90 A 50 90 0 0
STA_50_100 A 50 100 0 0
STA_50_110 A 50 110 0 0
STA_50_120 A 50 120 0 0
STA_50_130 A 50 130 0 0
STA_50_140 A 50 140 0 0
STA_50_150 A 50 150 0 0
STA_50_160 A 50 160 0 0
STA_50_170 A 50 170 0 0
STA_50_180 A 50 180 0 0
STA_60_-180 A 60 -180 0 0
STA_60_-170 A 60 -170 0 0
STA_60_-160 A 60 -160 0 0
STA_60_-150 A 60 -150 0 0
STA_60_-140 A 60 -140 0 0
STA_60_-130 A 60 -130 0 0
STA_60_-120 A 60 -120 0 0
STA_60_-110 A 60 -110 0 0
STA_60_-100 A 60 -100 0 0
STA_60_-90 A 60 -90 0 0
STA_60_-80 A 60 -80 0 0
STA_60_-70 A 60 -70 0 0
STA_60_-60 A 60 -60 0 0
STA_60_-50 A 60 -50 0 0
STA_60_-40 A 60 -40 0 0
STA_60_-30 A 60 -30 0 0
STA_60_-20 A 60 -20 0 0
STA_60_-10 A 60 -10 0 0
STA_60_0 A 60 0 0 0
STA_60_10 A 60 10 0 0
STA_60_20 A 60 20 0 0
STA_60_30 A 60 30 0 0
STA_60_40 A 60 40 0 0
STA_60_50 A 60 50 0 0
STA_60_60 A 60 60 0 0
STA_60_70 A 60 70 0 0
STA_60_80 A 60 80 0 0
STA_60_90 A 60 90 0 0
STA_60_100 A 60 100 0 0
STA_60_110 A 60 110 0 0
STA_60_120 A 60 120 0 0
STA_60_130 A 60 130 0 0
STA_60_140 A 60 140 0 0
STA_60_150 A 60 150 0 0
STA_60_160 A 60 160 0 0
STA_60_170 A 60 170 0 0
STA_60_180 A 60 180 0 0
STA_70_-180 A 70 -180 0 0
STA_70_-170 A 70 -170 0 0
STA_70_-160 A 70 -160 0 0
STA_70_-150 A 70 -150 0 0
STA_70_-140 A 70 -140 0 0
STA_70_-130 A 70 -130 0 0
STA_70_-120 A 70 -120 0 0
STA_70_-110 A 70 -110 0 0
STA_70_-100 A 70 -100 0 0
STA_70_-90 A 70 -90 0 0
STA_70_-80 A 70 -80 0 0
STA_70_-70 A 70 -70 0 0
STA_70_-60 A 70 -60 0 0
STA_70_-50 A 70 -50 0 0
STA_70_-40 A 70 -40 0 0
STA_70_-30 A 70 -30 0 0
STA_70_-20 A 70 -20 0 0
STA_70_-10 A 70 -10 0 0
STA_70_0 A 70 0 0 0
STA_70_10 A 70 10 0 0
STA_70_20 A 70 20 0 0
STA_70_30 A 70 30 0 0
STA_70_40 A 70 40 0 0
STA_70_50 A 70 50 0 0
STA_70_60 A 70 60 0 0
STA_70_70 A 70 70 0 0
STA_70_80 A 70 80 0 0
STA_70_90 A 70 90 0 0
STA_70_100 A 70 100 0 0
STA_70_110 A 70 110 0 0
STA_70_120 A 70 120 0 0
STA_70_130 A 70 130 0 0
STA_70_140 A 70 140 0 0
STA_70_150 A 70 150 0 0
STA_70_160 A 70 160 0 0
STA_70_170 A 70 170 0 0
STA_70_180 A 70 180 0 0
STA_80_-180 A 80 -180 0 0
STA_80_-170 A 80 -170 0 0
STA_80_-160 A 80 -160 0 0
STA_80_-150 A 80 -150 0 0
STA_80_-140 A 80 -140 0 0
STA_80_-130 A 80 -130 0 0
STA_80_-120 A 80 -120 0 0
STA_80_-110 A 80 -110 0 0
